"","pandri1","pandri2","pandri5","pandri7","pandri10"
"241","ENSG00000277342","ENSG00000237188",NA,NA,NA
"242","ENSG00000277587","ENSG00000245468",NA,NA,NA
"243","ENSG00000278022","ENSG00000245970",NA,NA,NA
"244","ENSG00000278192","ENSG00000247809",NA,NA,NA
"245","ENSG00000278576","ENSG00000251259",NA,NA,NA
"246","ENSG00000278600","ENSG00000251432",NA,NA,NA
"247","ENSG00000278920","ENSG00000251637",NA,NA,NA
"248","ENSG00000279217","ENSG00000255389",NA,NA,NA
"249","ENSG00000280011","ENSG00000257027",NA,NA,NA
"250","ENSG00000116652","ENSG00000258168",NA,NA,NA
"251","ENSG00000132204","ENSG00000258210",NA,NA,NA
"252","ENSG00000157306","ENSG00000258498",NA,NA,NA
"253","ENSG00000174365","ENSG00000259370",NA,NA,NA
"254","ENSG00000179523","ENSG00000259623",NA,NA,NA
"255","ENSG00000179935","ENSG00000260400",NA,NA,NA
"256","ENSG00000186615","ENSG00000260630",NA,NA,NA
"257","ENSG00000196951","ENSG00000260804",NA,NA,NA
"258","ENSG00000197085","ENSG00000260918",NA,NA,NA
"259","ENSG00000203875","ENSG00000261008",NA,NA,NA
"260","ENSG00000204588","ENSG00000261351",NA,NA,NA
"261","ENSG00000206337","ENSG00000261618",NA,NA,NA
"262","ENSG00000214922","ENSG00000263753",NA,NA,NA
"263","ENSG00000215039","ENSG00000272983",NA,NA,NA
"264","ENSG00000215417","ENSG00000273033",NA,NA,NA
"265","ENSG00000223749","ENSG00000273759",NA,NA,NA
"266","ENSG00000223891","ENSG00000279738",NA,NA,NA
"267","ENSG00000224152","ENSG00000162888",NA,NA,NA
"268","ENSG00000224897","ENSG00000172965",NA,NA,NA
"269","ENSG00000225411","ENSG00000183250",NA,NA,NA
"270","ENSG00000225434","ENSG00000197182",NA,NA,NA
"271","ENSG00000225439","ENSG00000205056",NA,NA,NA
"272","ENSG00000225670","ENSG00000214900",NA,NA,NA
"273","ENSG00000225684","ENSG00000215068",NA,NA,NA
"274","ENSG00000226167","ENSG00000215769",NA,NA,NA
"275","ENSG00000226180","ENSG00000222041",NA,NA,NA
