"","non-drivers"
"945","ENSG00000227885"
"946","ENSG00000227888"
"947","ENSG00000227893"
"948","ENSG00000227896"
"949","ENSG00000227906"
"950","ENSG00000227908"
"951","ENSG00000227911"
"952","ENSG00000227912"
"953","ENSG00000227914"
"954","ENSG00000227935"
"955","ENSG00000227945"
"956","ENSG00000227946"
"957","ENSG00000227947"
"958","ENSG00000227953"
"959","ENSG00000227954"
"960","ENSG00000227958"
"961","ENSG00000227963"
"962","ENSG00000227964"
"963","ENSG00000228005"
"964","ENSG00000228010"
"965","ENSG00000228013"
"966","ENSG00000228016"
"967","ENSG00000228021"
"968","ENSG00000228022"
"969","ENSG00000228035"
"970","ENSG00000228037"
"971","ENSG00000228043"
"972","ENSG00000228044"
"973","ENSG00000228072"
"974","ENSG00000228079"
"975","ENSG00000228082"
"976","ENSG00000228113"
"977","ENSG00000228124"
"978","ENSG00000228126"
"979","ENSG00000228127"
"980","ENSG00000228133"
"981","ENSG00000228150"
"982","ENSG00000228151"
"983","ENSG00000228153"
"984","ENSG00000228157"
"985","ENSG00000228172"
"986","ENSG00000228173"
"987","ENSG00000228174"
"988","ENSG00000228176"
"989","ENSG00000228189"
"990","ENSG00000228192"
"991","ENSG00000228208"
"992","ENSG00000228213"
"993","ENSG00000228215"
"994","ENSG00000228216"
"995","ENSG00000228235"
"996","ENSG00000228239"
"997","ENSG00000228242"
"998","ENSG00000228261"
"999","ENSG00000228262"
"1000","ENSG00000228271"
"1001","ENSG00000228274"
"1002","ENSG00000228275"
"1003","ENSG00000228280"
"1004","ENSG00000228288"
"1005","ENSG00000228290"
"1006","ENSG00000228293"
"1007","ENSG00000228296"
"1008","ENSG00000228302"
"1009","ENSG00000228308"
"1010","ENSG00000228309"
"1011","ENSG00000228322"
"1012","ENSG00000228329"
"1013","ENSG00000228343"
"1014","ENSG00000228353"
"1015","ENSG00000228358"
"1016","ENSG00000228363"
"1017","ENSG00000228365"
"1018","ENSG00000228386"
"1019","ENSG00000228392"
"1020","ENSG00000228397"
"1021","ENSG00000228404"
"1022","ENSG00000228408"
"1023","ENSG00000228412"
"1024","ENSG00000228414"
"1025","ENSG00000228417"
"1026","ENSG00000228422"
"1027","ENSG00000228426"
"1028","ENSG00000228427"
"1029","ENSG00000228437"
"1030","ENSG00000228444"
"1031","ENSG00000228452"
"1032","ENSG00000228467"
"1033","ENSG00000228481"
"1034","ENSG00000228482"
"1035","ENSG00000228484"
"1036","ENSG00000228495"
"1037","ENSG00000228506"
"1038","ENSG00000228509"
"1039","ENSG00000228536"
"1040","ENSG00000228539"
"1041","ENSG00000228540"
"1042","ENSG00000228543"
"1043","ENSG00000228544"
"1044","ENSG00000228559"
"1045","ENSG00000228560"
"1046","ENSG00000228564"
"1047","ENSG00000228566"
"1048","ENSG00000228573"
"1049","ENSG00000228587"
"1050","ENSG00000228590"
"1051","ENSG00000228592"
"1052","ENSG00000228604"
"1053","ENSG00000228613"
"1054","ENSG00000228618"
"1055","ENSG00000228620"
"1056","ENSG00000228625"
"1057","ENSG00000228627"
"1058","ENSG00000228634"
"1059","ENSG00000228639"
"1060","ENSG00000228643"
"1061","ENSG00000228649"
"1062","ENSG00000228650"
"1063","ENSG00000228655"
"1064","ENSG00000228659"
"1065","ENSG00000228669"
"1066","ENSG00000228680"
"1067","ENSG00000228686"
"1068","ENSG00000228689"
