"","BLCA","BRCA","COAD","HNSC","KICH","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"AC084219.4",0.714953988273097,0.288659048339659,0.624653258806147,0.892594329481039,0.88635922774749,0.109475597887337,0.620917531187262,0.281122873347829,0.848274431413808,0.436897772785513,0.764176229055794,0.524894173540506,0.505056655544213,0.55215599089466
"CTD-2368P22.1",0.310494978719547,0.899272020200142,0.17853651435175,0.201602452700848,0.668617562054373,0.99594948293323,0.437580194947517,0.0291115322062912,0.465777550829383,0.396145878191743,0.0448597109939304,0.228590685734859,0.270359120842981,0.100829126110072
"CDKN2B-AS1",0.696349337537178,0.639413627059239,0.084609667620032,0.0694898055007855,0.00132809913603467,0.000144754180057294,0.0866824122823911,0.00414390264774502,0.95679638064145,0.35149327237514,0.0763165896218473,0.132965930422987,0.0266913667766723,2.37026406389271e-05
"AC083843.1",0.935400979954034,0.764058458701167,0.103113112067018,0.903167394062918,0.608011299649387,0.591521957191045,0.475383295146145,0.605492285925347,0.0885542073570122,0.093509392385467,0.196686656584176,0.396100506665696,0.465443172245458,0.033933759015773
"LINC00174",0.249201170093921,0.559621324635281,0.000581493389332345,0.654085180433014,0.452231693152268,0.000175019364840587,0.478839881263341,0.746218049516351,0.386346207481314,0.872558042220542,0.708976694050713,0.713897348614281,0.0204019059682104,0.906650828967222
"LINC00960",0.601976162501435,0.420292525304421,0.96093090686545,0.501079936035931,0.19854733480158,0.21847520528234,0.0368264917822972,0.000771197476916761,0.900701115217098,0.998554463892808,0.51818214984334,0.935595582844469,0.775978410971425,0.0482791919864409
"LINC00638",0.183487722556658,0.899994469170594,0.000573016804526374,0.406077637316758,0.189080831570112,0.0993392600519303,0.802577223548426,0.00140353087304241,0.619578598309493,0.344184637189014,0.595378451921628,0.0857669142945864,0.486823848146649,0.641083954694768
"LINC00342",0.912553041668227,0.831012981573994,0.068891228080776,0.00998489691471367,0.0150723677090917,6.56003686131143e-05,0.991556029894117,0.542761354325608,0.135707801757911,0.729058016268172,0.0328881138192635,0.515802607902402,0.14813179718213,0.838099910496675
"NOP14-AS1",0.246207287075432,0.88581933054765,0.405616786464572,0.802979760165293,0.614557677175036,0.0664812607092646,0.00391903377195102,0.10676083059612,0.187609302228545,0.128394346256799,0.0744502643460371,0.277569202061332,0.424604004726831,0.45631717973889
"DLEU2",0.831584577819998,0.370210216490039,0.922750555328227,0.22580857362251,0.000314582323737014,0.0107683691869917,3.07602904762489e-06,0.0476918176668396,0.664450722214325,0.966835634772266,0.00783050658122577,0.334598308181374,0.993342696237842,0.0150234841857441
"PART1",0.177607152113242,0.244674125531371,0.280774694595272,0.186999749282695,0.0626252752281403,0.222666885474395,0.806288317797224,0.0383911549621731,0.600235272962901,0.483639797022853,0.380003714092622,0.293845438387528,0.875977004448278,0.782878734062499
"MAPKAPK5-AS1",0.075227330853802,0.724119374167658,0.181829513332842,0.163434258991764,0.000240654304846871,0.258220991422115,0.230006437789688,5.58286122920452e-05,0.367985689143052,0.683319346700103,0.642755802636342,0.142592454023358,0.900970269151211,0.60147977969718
"RP11-486O12.2",0.0686256030694148,0.0972691653663415,0.0117602404112073,0.0545310461922971,0.0251682041968052,9.60770255547193e-05,0.0609379313009169,0.0479486103268611,0.465678649880061,0.658191154951401,0.709187879352502,0.54489262857794,0.153980446498863,0.515811735184067
